,title,text
112,Shot Of Love,"

I need a shot of love, I need a shot of love

Don't need a shot of heroin to kill my disease
Don't need a shot of turpentine, only bring me to my knees
Don't need a shot of codeine to help me to repent
Don't need a shot of whiskey, help me be president

I need a shot of love, I need a shot of love

Doctor, can you hear me? I need some Medicaid
I seen the kingdoms of the world and it's makin' me feel afraid
What I got ain't painful, it's just bound to kill me dead
Like the men that followed Jesus when they put a price upon His head

I need a shot of love, I need a shot of love

I don't need no alibi when I'm spending time with you
I've heard all of them rumors and you have heard 'em too
Don't show me no picture show or give me no book to read
It don't satisfy the hurt inside nor the habit that it feeds

I need a shot of love, I need a shot of love

Why would I want to take your life?
You've only murdered my father, raped his wife
Tattooed my babies with a poison pen
Mocked my God, humiliated my friends

I need a shot of love, I need a shot of love

Don't wanna be with nobody tonight
Veronica not around nowhere, Mavis just ain't right
There's a man that hates me and he's swift, smooth and near
Am I supposed to set back and wait until he's here?

I need a shot of love, I need a shot of love

What makes the wind wanna blow tonight?
Don't even feel like crossing the street and my car ain't actin' right
Called home, everybody seemed to have moved away
My conscience is beginning to bother me today

I need a shot of love, I need a shot of love

I need a shot of love, I need a shot of love
If you're a doctor, I need a shot of love
"
113,Someday Baby,"

I don't care what you do, I don't care what you say 
I don't care where you go or how long you stay 
Someday baby, you ain't gonna worry about me any more 

Well you take my money and you turn it out 
You fill me up with nothing but self doubt 
Someday baby, you ain't gonna worry about me any more 

When I was young, driving was my crave 
You drive me so hard, almost to the grave 
Someday baby, you ain't gonna worry about me any more 

I'm so hard pressed, my mind tied up in knots 
I keep recycling the same old thoughts 
Someday baby, you ain't gonna worry about me me any more 

So many good things in life that I've overlooked 
I don't know what to do now, you got me hooked 
Someday baby, you ain't gonna worry about me me any more 

Well, I don't want to brag, but I'm gonna wring your neck 
When all else fails I'll make it a matter of self respect 
Someday baby, you ain't gonna worry about me any more 

You can take your clothes put them em in a sack 
You're going down the road, baby and you can't come back 
Someday baby, you ain't gonna worry about me any more 

I tried to be friendly, I tried to be kind 
I'm gonna drive you from your home, just like I was driven from mine 
Someday baby, you ain't gonna worry about me any more 

Living this way ain't a natural thing to do 
Why was I born to love you? 

Someday baby, you ain't gonna worry about me any more
"
114,Brownsville Girl,"

Well there was this movie I seen one time
About a man riding across the desert and starred Gregory Peck
He was shot down by a hungry kid trying to make a name for himself
The town's people wanted to crush that kid down and string him up by the neck

Well the Marshall now he beat that kid to a bloody pulp
As the dying gunfighter lay in the sun and gasped for his last breath
Turn him loose let him go let him say he outdrew me fair and square
I want him to feel what it's like to every moment face his death

Well I keep seeing this stuff and it just comes a-rolling in
And you know it blows right through me like a ball and chain
You know I can't believe we've lived so long and are still so far apart
The memory of you keeps calling after me like a rolling train

I can still see the day that you came to me on the painted desert
In your busted down Ford and your platform heels
I could never figure out why you chose that particular place to meet
Ah, but you were right it was perfect as I got in behind the wheel

Well we drove that car all night 'til we got into San Anton'
And we slept near the Alamo your skin was so tender and soft
Way down in Mexico you went out to find a doctor and you never came back
I would have gone on after you but I didn't feel like letting my head get blown off

Well we're driving this car and the sun is coming up over the Rockies
Now I know she ain't you but she's here and she's got that dark rhythm in her soul
But I'm too over the edge and I ain't in the mood anymore to remember the times
When I was your only man
And she don't want to remind me. She knows this car would go out of control

Brownsville girl with your Brownsville curls
Teeth like pearls shining like the moon above
Brownsville girl show me all around the world
Brownsville girl you're my honey love. Well we crossed the panhandle and then we headed towards Amarillo
We pulled up where Henry Porter used to live
He owned a wrecking lot outside of town about a mile
Ruby was in the backyard hanging clothes she had her red hair tied back. She saw us
Come rolling up in a trail of dust
She said ""Henry ain't here but you can come on in he'll be back in a little while""

Then she told us how times were tough and about how she was thinking of bumming
A ride back to where she started
But she changed the subject every time money came up
She said ""Welcome to the land of the living dead"". You could tell she was
So broken-hearted
She said ""Even the swap meets around here are getting pretty corrupt""

""How far are you all going ?"" Ruby asked us with a sigh
""We're going all the way until the wheels fall off and burn
Until the sun peels the paint and the seat covers fade and the water moccasin dies""
Ruby just smiled and said. ""Ah you know some babies never learn""

Something about that movie though well I just can't get it out of my head
But I can't remember why I was in it or what part I was supposed to play
All I remember about it was Gregory Peck and the way people moved
And a lot of them seemed to be looking my way

Brownsville girl with your Brownsville curls
Teeth like pearls shining like the moon above
Brownsville girl show me all around the world
Brownsville girl you're my honey love

Well they were looking for somebody with a pompadour
I was crossing the street when shots rang out
I didn't know whether to duck or to run so I ran
We got him cornered in the churchyard? I heard somebody shout

Well you saw my picture in the Corpus Christi Tribune. Underneath it it said
""A man with no alibi""
You went out on a limb to testify for me you said I was with you
Then when I saw you break down in front of the judge and cry real tears
It was the best acting I saw anybody do

Now I've always been the kind of person that doesn't like to trespass but sometimes
You just find yourself over the line
Oh if there's an original thought out there I could use it right now
You know I feel pretty good but that ain't saying much I could feel a whole lot better
If you were just here by my side to show me how
Well I'm standing in line in the rain to see a movie starring Gregory Peck
Yeah but you know it's not the one that I had in mind
He's got a new one out now I don't even know what it's about
But I'll see him in anything so I'll stand in line

Brownsville girl with your Brownsville curls
Teeth like pearls shining like the moon above
Brownsville girl show me all around the world
Brownsville girl you're my honey love

You know it's funny how things never turn out the way you had them planned
The only thing we knew for sure about Henry Porter is that his name
Wasn't Henry Porter
And you know there was something about you baby that I liked that was always too
Good for this world
Just like you always said there was something about me you liked that I left behind
In the French Quarter

Strange how people who suffer together have stronger connections than people who
Are most content
I don't have any regrets they can talk about me plenty when I'm gone
You always said people don't do what they believe in they just do what's most
Convenient then they repent
And I always said. ""Hang on to me baby and let's hope that the roof stays on""

There was a movie I seen one time I think I sat through it twice
I don't remember who I was or where I was bound
All I remember about it was it starred Gregory Peck he wore a gun and he was shot
In the back
Seems like a long time ago long before the stars were torn down

Brownsville girl with your Brownsville curls
Teeth like pearls shining like the moon above
Brownsville girl show me all around the world
Brownsville girl you're my honey love
"
115,If You Ever Go To Houston,"

If you ever go to Houston better walk right
Keep your hands in your pockets and your gun-belts tied
If you're asking for drama, if you're looking for a fight
If you ever go to Houston, boy you better walk right

If you're ever down there on Bagby and Lamar
You better watch out for the man with the shining star
Better know where you're going or stay where you are
If you're ever down there on Bagby and Lamar

Well I know these streets I've been here before
I nearly got killed here during the Mexican War
Something always keeps me coming back for more
I know these streets I've been here before

If you ever go to Dallas, say hello to Mary-Ann
Say I'm still looking along the trigger, hanging on the best I can
If you see her sister Lucy, say I'm sorry I'm not there
Tell her other sister Nancy to pray the sinner's prayer

I gotta rest this fever bury it in my brain
Better keep right forward, can't spoil the game
The same way I'll leave here will be the way that I came
Gotta rest this fever bury it in my brain

Mr. policeman, can you help me find my gal
Last time I saw her was at the Magnolia Motel
If you help me find her, you can be my pal
Mr. policeman, can you help me find my gal

If you ever go to Austin, Fort Worth or San Anton'
Find the barrooms I got lost in and send my memories home
Put my tears in a bottle screw the top on tight
If you ever go to Houston, buddy you'd better walk right
"
116,Band Of The Hand (It's Hell Time Man!),"

Band of the hand
Band of the hand
Band of the hand
Band of the hand

Down these streets the fools rule
There's no freedom or self respect
A knife's point or a trip to the joint
Is about all you can expect

They kill people here who stand up for their rights
The system's just too damned corrupt
It's always the same, the name of the game
Is who do you know higher up

Band of the hand
Band of the hand
Band of the hand
Band of the hand

The blacks and the whites
Steal the other kids' lives
Wealth is a filthy rag
So erotic so unpatriotic
So wrapped up in the American flag

The witchcraft scum exploiting the dumb
Turns children into crooks and slaves
Whose heroes and healers are real stoned dealers
Who should be put in their graves

Band of the hand
Band of the hand
Band of the hand
Band of the hand

Listen to me Mr. Pusherman
This might be your last night in a bed so soft
There are pimps on the make, politicians on the take
You can't pay us off

We're gonna blow up your home of Voodoo
And watch it burn without any regret
We got the power, we're the new government
You just don't know it yet

Band of the hand
Band of the hand
Band of the hand
Band of the hand

For all of my brothers from Vietnam
And my uncles from World War II
I've got to say that it's countdown time now
We're gonna do what the law should do

And for you pretty baby
I know your story is too painful to share
One day though you'll be talking in your sleep
And when you do, I wanna be there

Band of the hand
Band of the hand
Band of the hand
Band of the hand
"
117,Dark Eyes,"

Oh, the gentlemen are talking and the midnight moon is on the riverside
They're drinking up and walking and it is time for me to slide
I live in another world where life and death are memorized
Where the earth is strung with lover's pearls and all I see are dark eyes.

A cock is crowing far away and another soldier's deep in prayer
Some mother's child has gone astray, she can't find him anywhere
But I can hear another drum beating for the dead that rise
Whom nature's beast fears as they come and all I see are dark eyes.

They tell me to be discreet for all intended purposes
They tell me revenge is sweet and from where they stand, I'm sure it is
But I feel nothing for their game, where beauty goes unrecognized
All I feel is heat and flame, and all I see are dark eyes.

Oh, the French girl, she's in paradise and a drunken man is at the wheel
Hunger pays a heavy prize to the falling gods of speed and steel
Oh, time is short and the days are sweet and passion rules the arrow that flies
A million faces at my feet but all I see are dark eyes.
"
118,Where Teardrops Fall,"

Far away where the soft winds blow
Far away from it all
There is a place you go
Where teardrops fall.

Far away in the stormy night
Far away and over the wall
You are there in the flickering light
Where teardrops fall.

We banged the drum slowly
And played the fife lowly
You know the song in my heart
In the turning of twilight
In the shadows of moonlight
You can show me a new place to start.

I've torn my clothes and I've drained the cup
Strippin' away at it all
Thinking of you when the sun comes up
Where teardrops fall.

By rivers of blindness
In love and with kindness
We could hold up a toast if we meet
To the cuttin' of fences 
To sharpen the senses
That linger in the fireball heat.

Roses are red violets are blue
And times is beginning to crawl
I just might have to come to see you
Where teardrops fall.
"
119,Bye And Bye,"

By and by, I'm breathin' a lover's sigh
While I'm sittin' on my watch so I can be on time
I'm singin' love's praises with sugar coated rhyme
By and by, on you I'm castin' my eye
I'm paintin' the town, swingin' my partner around
Well I know who I can depend on, I know who to trust
I'm watchin' the boats, I'm studyin' the dust

I'm paintin' the town, makin' my last go-round
While I'm scufflin' and I'm shufflin' and I'm walkin' on briars
I'm not even aquainted with my old desires
I'm rollin' slow, I'm doin' all I know
I'm tellin' myself I've found true happiness
That I still got a dream that hasn't been repossessed
I'm rollin' slow goin' where the wild roses grow

Well, the future is already a thing of the past
You were my first love and you will be my last
Papa gone mad, Mama she's feelin' sad
Well, I'm gonna baptize you in fire so you can sin no more
I wanna establish my rule through civil war
Gonna make you see just how loyal and true a man can be.
"
120,Tell Ol' Bill,"

The river whispers in my ear
I've hardly a penny to my name
The heavens have never seemed so near
All of my body glows with flame

The tempest struggles in the air
And to myself alone I sing
It could sink me then and there
I can hear the echoes ring

I tried to find one smiling face
To drive the shadow from my head
I'm stranded in this nameless place
Lying restless in a heavy bed

Tell me straight out if you will
Why must you torture me within?
Why must you come down off of your high hill?
Throw my fate to the clouds and wind

Far away in a silent land
Secret thoughts are hard to bear
Remember me, you'll understand
Emotions we can never share

You trampled on me as you passed
Left the coldest kiss upon my brow
All of my doubts and fears have gone at last
I've nothing more to tell you now

I walk by tranquil lakes and streams
As each new season's dawn awaits
I lay awake at night with troubled dreams
The enemy is at the gate

Beneath the thunder blasted trees
The words are ringin' off your tongue
The ground is hard in times like these
Stars are cold, the night is young

The rocks are bleak, the trees are bare
Iron clouds go floating by
Snowflakes fallin' in my hair
Beneath the gray and stormy sky

The evenin' sun is sinkin' low
The woods are dark, the town isn't new
They''ll drag you down, they'll run the show
Ain't no telling what they'll do

Tell ol' Bill when he comes home
Anything is worth a try
Tell him that I'm not alone
That the hour has come to do or die

All the world I would defy
Let me make it plain as day
I look at you now and I sigh
How could it be any other way?
"
121,Moonlight,"

Seasons they are turning and my sad heart is yearning
I hear again the songbird weep below his tone
Won't you meet me out in the moonlight alone

The dusky light the day is losing
Orchards, poppies, black eyed Susan
The earth and sky that melts with flesh and bone
Won't you meet me out in the moonlight alone

The air is thick and heavy all along the levee
Where the geese into the countryside have flown
Won't you meet me out in the moonlight alone

Well, I'm preaching peace and harmony
The blessings of tranquility
Yet I know when the time is right to strike
I take you 'cross the river, dear
You no need to linger here
I know the kinds of things you like

The clouds are turning crimson, the leaves fall from the limbs and
The branches cast their shadows over stone
Won't you meet me out in the moonlight alone

The boulevards of cypress trees, the masquerade of birds and bees
The petals blinking white, the wind has blown
Won't you meet me out in the moonlight alone

The trailing moss in mystico, the purple blossom soft as snow
My tears keep flowing to the sea
Doctor, lawyer, indian chief, it takes a thief to catch a thief
For whom does the bell toll for, love?
It tolls for you and me

Old pulses running through my palm, the sharp hills are rising from
Yellow fields with twisted oaks that grow
Won't you meet me out in the moonlight alone
"
122,Angelina,"

Well, it's always been my nature to take chances
My right hand drawing back while my left hand advances
Where the current is strong and the monkey dances
To the tune of a concertina

Blood dryin' in my yellow hair as I go from shore to shore
I know what it is that has drawn me to your door
But whatever it could be, makes me think you've seen me before
Angelina

Oh, Angelina. Oh, Angelina

His eyes were two slits that would make a snake proud
With a face that any painter would paint as he walked through the crowd
Worshipping a god with the body of a woman well endowed
And the head of a hyena

Do I need your permission to turn the other cheek?
If you can read my mind, why must I speak?
No, I have heard nothing about the man that you seek
Angelina

Oh, Angelina. Oh, Angelina

In the valley of the giants where the stars and stripes explode
The peaches they were sweet and the milk and honey flowed
I was only following instructions when the judge sent me down the road
With your subpoena

When you cease to exist, then who will you blame
I've tried my best to love you but I cannot play this game
Your best friend and my worst enemy is one and the same
Angelina

Oh, Angelina. Oh, Angelina

There's a black Mercedes rollin' through the combat zone
Your servants are half dead, you're down to the bone
Tell me, tall men, where would you like to be overthrown
Maybe down in Jerusalem or Argentina?

She was stolen from her mother when she was three days old
Now her vengeance has been satisfied and her possessions have been sold
He's surrounded by God's angels and she's wearin' a blindfold
And so are you, Angelina

Oh, Angelina. Oh, Angelina

I see pieces of men marching; trying to take heaven by force
I can see the unknown rider, I can see the pale white horse
In God's truth tell me what you want and you'll have it of course
Just step into the arena

Beat a path of retreat up them spiral staircases
Pass the tree of smoke, pass the angel with four faces
Begging God for mercy and weepin' in unholy places
Angelina

Oh, Angelina. Oh, Angelina
"
123,Please Mrs. Henry,"

Well, I've already had two beers 
I'm ready for the broom
Please, Missus Henry, won't you 
Take me to my room ?
I'm a good old boy 
But I've been sniffin' too many eggs
Talkin' to too many people 
Drinkin' too many kegs
Please, Missus Henry, Missus Henry,
Please 
Please, Missus Henry, please
I'm down on my knees 
And I ain't got a dime.

Well, I'm groanin' in a hallway 
Pretty soon I'll be mad
Please, Missus Henry, won't you 
Take me to your dad ?
I can drink like a fish 
I can crawl like a snake
I can bite like a turkey 
I can slam like a drake
Please, Missus Henry, Missus Henry,
Please 
Please, Missus Henry, please
I'm down on my knees 
And I ain't got a dime.

Now, don't crowd me, lady 
Or I'll fill up your shoe
I'm a sweet bourbon daddy 
And tonight I am blue
I'm a thousand years old 
And I'm a generous bomb
I'm T-boned and punctured 
But I'm known to be calm
Please, Missus Henry, Missus Henry,
Please 
Please, Missus Henry, please
I'm down on my knees 
And I ain't got a dime.
Now, I'm startin' to drain 
My stool's gonna squeak
If I walk too much farther 
My crane's gonna leak
Look, Missus Henry 
There's only so much I can do
Why don't you look my way 
And pump me a few ?
Please, Missus Henry, Missus Henry,
Please 
Please, Missus Henry, please
I'm down on my knees 
And I ain't got a dime.
"
124,Man Of Peace,"

Look out your window, baby, there's a scene you'd like to catch
The band is playing ""Dixie"", a man got his hand outstretched
Could be the FÃhrer
Could be the local priest
You know sometimes Satan, you know he comes as a man of peace.

He got a sweet gift of gab, he got a harmonious tongue
He knows every song of love that ever has been sung
Good intentions can be evil
Both hands can be full of grease
You know that sometimes Satan comes as a man of peace.

Well, first he's in the background, and then he's in the front
Both eyes are looking like they're on a rabbit hunt
Nobody can see through him
No, not even the Chief of Police
You know that sometimes Satan comes as a man of peace.

Well, he catch you when you're hoping for a glimpse of the sun
Catch you when your troubles feel like they weigh a ton
He could be standing next to you
The person that you'd notice least
I hear that sometimes Satan comes as a man of peace.

Well, he can be fascinating, he can be dull
He can ride down Niagara Falls in the barrels of your skull
I can smell something cooking
I can tell there's going to be a feast
You know that sometimes Satan comes as a man of peace.

He's a great humanitarian, he's great philanthropist
He knows just where to touch you honey, and how you like to be kissed
He'll put both his arms around you
You can feel the tender touch of the beast
You know that sometimes Satan comes as a man of peace.

Well, the howling wolf will howl tonight, the king snake will crawl
Trees that've stood for a thousand years suddenly will fall
Wanna get married ? Do it now
Tomorrow all activity will cease
You know that sometimes Satan comes as a man of peace.
Somewhere Mama's weeping for her blue-eyed boy
She's holding them little white shoes and that little broken toy
And he's following a star
The same one them three men followed from the East
I hear that sometimes Satan comes as a man of peace.
"
125,Bob Dylan's New Orleans Rag,"

I was sittin' on a stump
Down in New Orleans
I was feelin' kinda low down
Dirty and mean
Along came a fella
And he didn't even ask
He says, ""I know of a woman
That can fix you up fast""
I didn't think twice
I said like I should
""Let's go find this lady
That can do me some good""
We walked across the river
On a sailin' spree
And we came to a door
Called one-oh-three

I was just about ready
To give it a little knock
When out comes a fella
Who couldn't even walk
He's linkin' and a-slinkin'
Couldn't stand on his feet
And he moaned and he groaned
And he shuffled down the street
Well, out of the door
There comes another man
He wiggled and he wobbled
He couldn't hardly stand
He had this frightened
Look in his eyes
Like he just fought a bear
He was ready to die

Well, I peeked through the key crack
Comin' down the hall
Was a long-legged man
Who couldn't hardly crawl
He muttered and he uttered
In broken French
And he looked like he'd been through
A monkey wrench

Well, by this time
I was a-scared to knock
I was a-scared to move
I's in a state of shock
I hummed a little tune
And I shuffled my feet
And I started walkin' backwards
Down that broad street
Well, I got to the corner
I tried my best to smile
I turned around the corner
And I ran a bloody mile
Man, I wasn't runnin'
'Cause I was sick
I was just a-runnin'
To get out of there quick

Well, I tripped right along
And I'm a-wheezin' in my chest
I musta run a mile
In a minute or less
I walked on a log
And I tripped on a stump
I caught a fast freight
With a one-arm jump
So, if you're travelin' down
Louisiana way
And you feel kinda lonesome
And you need a place to stay
Man, you're better off
In your misery
Than to tackle that lady
At one-oh-three
"
126,Honest With Me,"

Well, I'm stranded in the city that never sleeps
Some of these women they just give me the creeps
I'm avoidin' the south side the best I can
These memories I got they can strangle a man
Well, I came ashore in the dead of the night
Lot of things can get in the way when you're tryin' to do what's right

You don't understand it, my feelin' for you
You'd be honest with me if you only knew

I'm not sorry for nothing I've done
I'm glad I fought, I only wish we won
The Siamese twins are comin' to town
People can't wait, they've gathered around
When I left my home the sky split open wide
I never wanted to go back there, I'd rather have died

You don't understand it, my feelin' for you
You'd be honest with me if only you knew

My woman got a face like a teddy bear
She's tossin' a baseball bat in the air
The meat is so tough you can't cut it with a sword
I'm crashin' my car trunk first into the board
They say that my eyes are pretty and my smile is nice
Well, I'd sell it to ya at a reduced price

You don't understand it, my feeling for you
You'd be honest with me if only you knew

Some things are too terrible to be true,
I won't come here no more if it bothers you.
There's a Southern Pacific leaving at 9:45
I'm havin' a hard time, believing some people we're ever alive
I'm stark naked but I don't care
I'm goin' off into the woods I'm hunt'n' bear
You don't understand it, my feeling for you
Well, you'd be honest with me if only you knew

I'm here to create the new imperial empire
I'm gonna do whatever circumstances require
I care so much for you, didn't think I could
I can't tell my heart that you're no good
Well, my parents, they warned me not to risk my years
And I still got their advice oozing out of my ears

You don't understand it, my feeling for you
Well, you'd be honest with me if only you knew
"
127,10.000 Men,"

10.000 men on a hill
10.000 men on a hill
Some of them going down some of them gonna get killed.

10.000 men dressed in Oxford blue
10.000 men dressed in Oxford blue
Drummin in the morning in the evening they'll be coming for you.

10.000 men on the move
10.000 men on the move
None of them doing nothing that your mama wouldn't disapprove.

10.000 men diggin' for silver and gold
10.000 men diggin' for silver and gold
All clean shaven all coming from the cold.

Hey who could you lover be ?
Hey who could you lover be ?
Let me eat off his head and you can really see.

10.000 women all dressed in white
10.000 women all dressed in white
Standing at my window wishing me goodnight.

10.000 men looking so lean and frail
10.000 men looking so lean and frail
Each one of them got seven wives each of them just out of jail.

10.000 women all sleep in my room
10.000 women all sleep in my room
Spilling my buttermilk sweeping it up with a broom.

Mmm baby thank you for my tea
Hey baby thank you for my tea
It's really so sweet of you to be so nice to me.
"
128,Gonna Change My Way Of Thinking,"

Gonna change my way of thinking
Make myself a different set of rules
Gonna change my way of thinking
Make myself a different set of rules
Gonna put my good foot forward
And stop being influenced by fools.

So much oppression
Can't keep track of it no more
So much oppression
Can't keep track of it no more
Sons becoming husbands to their mothers
And old men turning young daughters into whores.

Stripes on your shoulders
Stripes on your back and on your hands
Stripes on your shoulders
Stripes on your back and on your hands
Swords piercing your side
Blood and water flowing through the land.

Well don't know which one is worse
Doing your own thing or just being cool
Well don't know which one is worse
Doing your own thing or just being cool
You remember only about the brass ring
You forget all about the golden rule.

You can mislead a man
You can take ahold of his heart with your eyes
You can mislead a man
You can take ahold of his heart with your eyes
But there's only one authority
And that's the authority on high.

I got a God-fearing woman
One I can easily afford
I got a God-fearing woman
One I can easily afford
She can do the Georgia crawl
She can walk in the spirit of the Lord. 

Jesus said, ""Be ready
For you know not the hour in which I come""
Jesus said, ""Be ready
For you know not the hour in which I come""
He said, ""He who is not for Me is against Me""
Just so you know where He's coming from.

There's a kingdom called Heaven
A place where there is no pain of birth
There's a kingdom called Heaven
A place where there is no pain of birth
Well the Lord created it, mister
About the same time He made the earth.
"
129,Song To Woody,"

I'm out here a thousand miles from my home
Walking a road other men have gone down
I'm seeing a new world of people and things
Hear paupers and peasants and princes and kings

Hey hey Woody Guthrie I wrote you a song
About a funny old world that's coming along
Seems sick and it's hungry, it's tired and it's torn
It looks like it's dying and it's hardly been born

Hey Woody Guthrie but I know that you know
All the things that I'm saying and a many times more
I'm singing you the song but I can't sing enough
'Cause there's not many men that've done the things that you've done

Here's to Cisco and Sonny and Leadbelly too
And to all the good people that travelled with you
Here's to the hearts and the hands of the men
That come with the dust and are gone with the wind

I'm leaving tomorrow but I could leave today
Somewhere down the road someday
The very last thing that I'd want to do
Is to say I've been hitting some hard travelling too
"
130,Don't Think Twice It's All Right,"

Well, it ain't no use to sit and wonder why, babe
If'n you don't know by now
And it ain't no use to sit and wonder why, babe
It'll never do somehow

When your rooster crows at the break of dawn
Look out your window, and I'll be gone
You're the reason I'm a-traveling on
But don't think twice, it's all right

And it ain't no use in turning on your light, babe
The light I never knowed
And it ain't no use in turning on your light, babe
I'm on the dark side of the road

But I wish there was somethin' you would do or say
To try and make me change my mind and stay
But we never did too much talking anyway
But don't think twice, it's all right

So it ain't no use in calling out my name, gal
Like you never done before
And it ain't no use in calling out my name, gal
I can't hear you any more

I'm a-thinking and a-wonderin' walking down the road
I once loved a woman, a child I am told
I give her my heart but she wanted my soul
But don't think twice, it's all right

So long honey, baby
Where I'm bound, I can't tell
Goodbye's too good a word, babe
So I'll just say fare thee well

I ain't a-saying you treated me unkind
You could have done better but I don't mind
You just kinda wasted my precious time
But don't think twice, it's all right
"
131,On A Night Like This,"

On a night like this 
I am so glad you came around
Hold on to me so tight 
And heat up some coffee grounds
We got much to talk about 
And much to reminisce
It sure is right 
On a night like this.

On a night like this 
So glad you've come to stay
Hold on to me, pretty miss 
Say you'll never go away to stray
Run your fingers down my spine 
Bring me a touch of bliss
It sure feels right 
On a night like this.

On a night like this 
I can't get any sleep
The air is so cold outside 
And the snow's so deep
Build a fire, throw on logs 
And listen to it hiss
And let it burn, burn, burn, burn 
On a night like this.

Put your body next to mine 
And keep me company
There is plenty a room for all 
So please don't elbow me.

Let the four winds blow 
Around this old cabin door
If I'm not too far off 
I think we did this once before
There's more frost on the window glass 
With each new tender kiss
But it sure feels right 
On a night like this.
"
132,What'll I Do,"

What'll I do
When you are far away
And I am blue
What'll I do?

What'll I do
When I am wondering who
Is kissing you
What'll I do?

What'll I do
With just a photograph
To tell my troubles too?

When I'm alone
With only dreams of you
That won't come true
What'll I do?

What'll I do
With just a photograph
To tell my troubles too?

When I'm alone
With only dreams of you
That won't come true
What'll I do?
"
133,When The Ship Comes In,"

Oh the time will come up
When the winds will stop
And the breeze will cease to be breathin'
Like the stillness in the wind
'Fore the hurricane begins
The hour when the ship comes in

And the seas will split
And the ship will hit
And the sands on the shoreline will be shaking
Then the tide will sound
And the wind will pound
And the morning will be breaking

Oh the fishes will laugh
As they swim out of the path
And the seagulls they'll be smiling
And the rocks on the sand
Will proudly stand
The hour that the ship comes in

And the words that are used
For to get the ship confused
Will not be understood as they're spoken
For the chains of the sea
Will have busted in the night
And will be buried at the bottom of the ocean

A song will lift
As the mainsail shifts
And the boat drifts on to the shoreline
And the sun will respect
Every face on the deck
The hour that the ship comes in

Then the sands will roll
Out a carpet of gold
For your weary toes to be a-touchin'
And the ship's wise men
Will remind you once again
That the whole wide world is watchin'

Oh the foes will rise
With the sleep in their eyes
And they'll jerk from their beds and think they're dreamin'
But they'll pinch themselves and squeal
And know that it's for real
The hour that the ship comes in

Then they'll raise their hands
Sayin' we'll meet all your demands
But we'll shout from the bow your days are numbered
And like Pharaoh's tribe
They'll be drownded in the tide
And like Goliath, they'll be conquered
"
134,Gates Of Eden,"

Of war and peace the truth just twists
Its curfew gull it glides
Upon four-legged forest clouds
The cowboy angel rides
With his candle lit into the sun
Though its glow is waxed in black
All except when 'neath the trees of Eden

The lamppost stands with folded arms
Its iron claws attached
To curbs 'neath holes where babies wail
Though it shadows metal badge
All and all can only fall
With a crashing but meaningless blow
No sound ever comes from the Gates of Eden

The savage soldier sticks his head in sand
And then complains
Unto the shoeless hunter who's gone deaf
But still remains
Upon the beach where hound dogs bay
At ships with tattered sails
Heading for the Gates of Eden

With a time-rusted compass blade
Aladdin and his lamp
Sits with Utopian hermit monks
Side saddle on the Golden Calf
And on their promises of paradise
You will not hear a laugh
All except inside the Gates of Eden

Relationships of ownership
They whisper in the wings
To those condemned to act accordingly
And wait for succeeding kings
And I try to harmonize with songs
The lonesome sparrow sings
There are no kings inside the Gates of Eden

The motorcycle black Madonna
Two-wheeled gypsy queen
And her silver-studded phantom 'cause
The gray flannel dwarf to scream
As he weeps to wicked birds of prey
Who pick up on his bread crumb sins
And there are no sins inside the Gates of Eden

The kingdoms of experience
In the precious winds they rot
While paupers change possessions
Each one wishing for what the other has got
And the princess and the prince
Discuss what's real and what is not
It doesn't matter inside the Gates of Eden

The foreign sun, it squints upon
A bed that is never mine
As friends and other strangers
From their fates try to resign
Leaving men wholly totally free
To do anything they wish to do but die
And there are no trials inside the Gates of Eden

At dawn my lover comes to me
And tells me of her dreams
With no attempts to shovel the glimpse
Into the ditch of what each one means
At times I think there are no words
But these to tell what's true
And there are no truths outside the Gates of Eden
"
135,False Prophet,"

Another day that don't end
Another ship goin' out
Another day of anger, bitterness, and doubt
I know how it happened
I saw it begin
I opened my heart to the world and the world came in

Hello Mary Lou
Hello Miss Pearl
My fleet-footed guides from the underworld
No stars in the sky shine brighter than you
You girls mean business and I do too

Well I'm the enemy of treason
Enemy of strife
Enemy of the unlived meaningless life
I ain't no false prophet
I just know what I know
I go where only the lonely can go

I'm first among equals
Second to none
Last of the best
You can bury the rest
Bury 'em naked with their silver and gold
Put them six feet under and pray for their souls

What are you lookin' at
There's nothing to see
Just a cool breeze that's encircling me
Let's go for a walk in the garden
So far and so wide
We can sit in the shade by the fountain-side

I search the world over
For the Holy Grail
I sing songs of love
I sing songs of betrayal
Don't care what I drink
Don't care what I eat
I climbed the mountains of swords on my bare feet

You don't know me darlin'
You never would guess
I'm nothing like my ghostly appearance would suggest
I ain't no false prophet
I just said what I said
I'm just here to bring vengeance on somebody's head

Put out your hand
There's nothing to hold
Open your mouth
I'll stuff it with gold
Oh you poor devil look up if you will
The city of God is there on the hill

Hello stranger
A long goodbye
You ruled the land
But so do I
You lost your mule
You got a poison brain
I'll marry you to a ball and chain

You know darlin'
The kind of life that I live
When your smile meets my smile something's got to give
I ain't no false prophet
No I'm nobody's bride
Can't remember when I was born
And I forgot when I died
"
